bernardia,dichotoma,bedi2
betula,alleghaniensis,beal2
betula,lenta,bele
betula,neoalaskana,bene4
betula,nigra,beni
betula,occidentalis,beoc2
betula,papyrifera,bepa
betula,pendula,bepe3
betula,platyphylla,bepl2
betula,populifolia,bepo
betula,pubescens,bepu5
betula,uber,beub
betula,x utahensis,beut
bischofia,javanica,bija
bixa,orellana,bior
blighia,sapida,blsa2
bobea,brevipes,bobr3
bobea,elatior,boel3
bobea,sandwicensis,bosa2
bobea,timonioides,boti
bocconia,frutescens,bofr2
boehmeria,virgata,bovi7
bontia,daphnoides,boda
bourreria,radula,bora2
bourreria,succulenta,bosu2
bourreria,virgata,bovi2
brachychiton,discolor,brdi6
brachychiton,populneum,brpo6
broussonetia,papyrifera,brpa4
brugmansia,candida,brca12
bruguiera,gymnorhiza,brgy3
bruguiera,parviflora,brpa15
brunellia,comocladiifolia,brco6
brunfelsia,americana,bram4
brunfelsia,densifolia,brde4
brunfelsia,lactea,brla5
brunfelsia,portoricensis,brpo3
buchanania,engleriana,buen
buchanania,merrillii,bume4
buchanania,palawensis,bupa16
buchenavia,tetraphylla,bute4
bucida,buceras,bubu
bunchosia,glandulifera,bugl2
bunchosia,glandulosa,bugl
bunchosia,polystachia,bupo5
burckella,richii,buri3
bursera,simaruba,busi
butia,capitata,buca15
buxus,laevigata,bula10
buxus,sempervirens,buse2
buxus,vahlii,buva
byrsonima,crassifolia,bycr
byrsonima,lucida,bylu
byrsonima,spicata,bysp
byrsonima,wadsworthii,bywa
caesalpinia,coriaria,caco28
caesalpinia,kavaiensis,caka5
caesalpinia,pulcherrima,capu13
caesalpinia,sappan,casa28
caesalpinia,spp.,caesa
calliandra,surinamensis,casu33
callicarpa,ampla,caam14
callistemon,citrinus,caci15
callistemon,viminalis,cavi23
callitris,columellaris,caco2
calocedrus,decurrens,cade27
calophyllum,antillanum,caan22
calophyllum,inophyllum,cain4
calophyllum,neo-ebudicum,cane31
calophyllum,pelewense,cape15
calophyllum,soulattri,caso12
calotropis,procera,capr
calycophyllum,candidissimum,caca73
calyptranthes,kiaerskovii,caki
calyptranthes,krugii,cakr
calyptranthes,luquillensis,calu12
calyptranthes,pallens,capa8
calyptranthes,portoricensis,capo9
calyptranthes,sintenisii,casi8
calyptranthes,thomasiana,cath3
calyptranthes,zuzygium,cazu
calyptronoma,rivalis,cari3
camellia,japonica,caja9
camellia,sinensis,casi16
campnosperma,brevipetiolatum,cabr18
cananga,odorata,caod
canarium,hirsutum,cahi14
canarium,indicum,cain42
canarium,mafoa,caha39
canarium,ovatum,caov7
canarium,vitiense,cavi26
canarium,vulgare,cavu9
canella,winteriana,cawi
capparis,amplissima,caam13
capparis,baducca,caba2
capparis,cynophallophora,cacy
capparis,flexuosa,cafl2
capparis,hastata,caha9
capparis,indica,cain5
caragana,arborescens,caar18
carapa,guianensis,cagu6
carica,papaya,capa23
carmona,retusa,care22
carpinus,betulus,cabe8
carpinus,caroliniana,caca18
carya,alba,caal27
carya,aquatica,caaq2
carya,carolinae-septentrionalis,caca38
carya,cordiformis,caco15
carya,floridana,cafl6
carya,glabra,cagl8
carya,illinoinensis,cail2
carya,laciniosa,cala21
carya,myristiciformis,camy
carya,ovalis,caov3
carya,ovata,caov2
carya,pallida,capa24
carya,texana,cate9
caryota,mitis,cami36
caryota,urens,caur3
casearia,aculeata,caac3
casearia,arborea,caar8
casearia,cauliflora,caca28
casearia,decandra,cade11
casearia,guianensis,cagu2
casearia,sylvestris,casy2
cassia,fistula,cafi3
cassia,grandis,cagr11
cassia,javanica,caja3
cassia,leptophylla,cale49
cassine,xylocarpa,caxy
cassipourea,guianensis,cagu3
castanea,crenata,cacr27
castanea,dentata,cade12
castanea,mollissima,camo83
castanea,pumila,capu9
castanea,pumila,capuo
castanea,sativa,casa27
castela,erecta,caer3
castilla,elastica,cael5
casuarina,cunninghamiana,cacu8
casuarina,equisetifolia,caeq
casuarina,glauca,cagl11
casuarina,lepidophloia,cale28
casuarina,litorea,cali8
catalpa,bignonioides,cabi8
catalpa,longissima,calo8
catalpa,ovata,caov5
catalpa,speciosa,casp8
cecropia,obtusifolia,ceob
cecropia,schreberiana,cesc9
cedrela,odorata,ceod
cedrus,atlantica,ceat4
cedrus,deodara,cede2
cedrus,libani,celi6
ceiba,acuminata,ceac4
ceiba,aesculifolia,ceae2
ceiba,pentandra,cepe2
celtis,laevigata,cela
celtis,occidentalis,ceoc
celtis,paniculata,cepa6
celtis,sinensis,cesi8
celtis,trinervia,cetr3
ceratonia,siliqua,cesi3
cerbera,floribunda,cefl2
cerbera,manghas,cema20
cerbera,odollam,ceod2
cercidiphyllum,japonicum,ceja2
cercis,canadensis,ceca4
cercis,orbiculata,ceor9
cercocarpus,ledifolius,cele3
cereus,hexagonus,cehe3
cereus,hildmannianus,cehi3
ceriops,tagal,ceta2
cestrum,aurantiacum,ceau2
cestrum,diurnum,cedi6
cestrum,laurifolium,cela2
cestrum,nocturnum,ceno
chamaecyparis,lawsoniana,chla
chamaecyparis,nootkatensis,chno
chamaecyparis,obtusa,chob8
chamaecyparis,pisifera,chpi12
chamaecyparis,thyoides,chth2
chamaerops,humilis,chhu7
chamaesyce,articulata,char8
chamaesyce,atrococca,chat2
chamaesyce,celastroides,chce
chamaesyce,herbstii,chhe3
chamaesyce,kuwaleana,chku
chamaesyce,olowaluana,chol3
chamaesyce,rockii,chro2
charpentiera,densiflora,chde3
charpentiera,elliptica,chel
charpentiera,obovata,chob2
charpentiera,ovata,chov2
charpentiera,tomentosa,chto3
cheirodendron,dominii,chdo3
cheirodendron,fauriei,chfa
cheirodendron,forbesii,chfo4
cheirodendron,platyphyllum,chpl
cheirodendron,trigynum,chtr2
chenopodium,oahuense,choa
chionanthus,axilliflorus,chax2
chionanthus,compactus,chco12
chionanthus,domingensis,chdo4
chionanthus,holdridgei,chho4
chionanthus,ligustrinus,chli6
chionanthus,retusus,chre9
chionanthus,vitiensis,chvi22
chione,seminervis,chse5
chione,venosa,chve4
chlorophora,excelsa,chex5
chorisia,speciosa,chsp13
chrysobalanus,icaco,chic
chrysolepis,chrysophylla,chchc4
chrysophyllum,argenteum,char6
chrysophyllum,cainito,chca10
chrysophyllum,oliviforme,chol
chrysophyllum,pauciflorum,chpa31
cibotium,chamissoi,cich
cibotium,glaucum,cigl
cibotium,heleniae,cihe7
cibotium,menziesii,cime8
cibotium,spp.,cibot
cinchona,pubescens,cipu
cinnamomum,aromaticum,ciar8
cinnamomum,burmannii,cibu2
cinnamomum,camphora,cica
cinnamomum,carolinense,cica2
cinnamomum,elongatum,ciel2
cinnamomum,montanum,cimo3
cinnamomum,pedatinervium,cipe6
cinnamomum,sessilifolium,cise2
cinnamomum,verum,cive2
